ID,PASS,USERTYPE,USERNAME,1st Vac Status,2nd Vac Status,1st Vac Date,2nd Vac Date,Phone,ASSGINED VC,CAP/DAY,Age,Total Vac Available
10001,admin,admin,MOH,none,none,none,none,380008000,none,none,none,none
10002,vcadmin,vcadmin,VCSelangor,none,none,none,none,382508330,none,20,none,100
10003,vcadmin,vcadmin,VCKL,none,none,none,none,385215640,none,10,none,100
10004,A1234,recipient,Anas,Pending,Pending,none,none,125694822,VCSelangor,none,none,none
10005,A1234,recipient,Katia,Pending,Pending,none,none,145976585,VCSelangor,none,none,none
10006,A1234,recipient,Lee,Pending,Pending,none,none,127887969,VCSelangor,none,none,none
10007,A1234,recipient,Mohamed,Pending,Pending,none,none,169988253,VCSelangor,none,none,none
10008,A1234,recipient,Mona,Pending,Pending,none,none,123678552,VCSelangor,none,none,none
10009,A1234,recipient,Hamza,Pending,Pending,none,none,125454861,VCSelangor,none,none,none
10010,A1234,recipient,Noor,Pending,Pending,none,none,121645958,VCSelangor,none,none,none
10011,A1234,recipient,Zizo,Pending,Pending,none,none,105497852,VCSelangor,none,none,none
10012,A1234,recipient,Mustafa,Pending,Pending,none,none,113344998,none,none,none,none
10013,A1234,recipient,Ali,Pending,Pending,none,none,124558763,none,none,none,none
10014,A1234,recipient,Abu,Pending,Pending,none,none,135948210,none,none,none,none
10015,A1234,recipient,Muthu,Pending,Pending,none,none,142353216,none,none,none,none
10016,A1234,recipient,Jun Jie,Pending,Pending,none,none,123655213,none,none,none,none
10017,A1234,recipient,Mark,Pending,Pending,none,none,104458693,none,none,none,none
10018,A1234,recipient,Jason,Pending,Pending,none,none,123655249,none,none,none,none
10019,A1234,recipient,Steven,Pending,Pending,none,none,115468521,none,none,none,none
10020,A1234,recipient,Poh Yi,Pending,Pending,none,none,103699852,none,none,none,none
10021,A1234,recipient,Daniel,Pending,Pending,none,none,146542562,none,none,none,none
10022,A1234,recipient,Lokman,Pending,Pending,none,none,123345697,none,none,none,none
10023,A1234,recipient,Yunos,Pending,Pending,none,none,123331456,none,none,none,none
10024,A1234,recipient,Anuar,Pending,Pending,none,none,125469855,none,none,none,none
10025,A1234,recipient,Shameem,Pending,Pending,none,none,149899862,none,none,none,none
10026,A1234,recipient,Jawhar,Pending,Pending,none,none,123352100,none,none,none,none
10027,A1234,recipient,Umar,Pending,Pending,none,none,142662348,none,none,none,none
10028,A1234,recipient,Yati,Pending,Pending,none,none,142686549,none,none,none,none
10029,A1234,recipient,Yusri,Pending,Pending,none,none,124697824,none,none,none,none
10030,A1234,recipient,Shakilah,Pending,Pending,none,none,123377845,none,none,none,none
10031,A1234,recipient,Sybil,Pending,Pending,none,none,145648280,none,none,none,none
10032,A1234,recipient,Nabil,Pending,Pending,none,none,176654987,none,none,none,none
10033,A1234,recipient,Norazmi,Pending,Pending,none,none,123617710,none,none,none,none
10034,A1234,recipient,Rashidi,Pending,Pending,none,none,179006487,none,none,none,none
10035,A1234,recipient,Syafiqah,Pending,Pending,none,none,136645892,none,none,none,none
10036,A1234,recipient,Rajakumar,Pending,Pending,none,none,123369854,none,none,none,none
10037,A1234,recipient,Yee Xuan,Pending,Pending,none,none,125498201,none,none,none,none
10038,A1234,recipient,James,Pending,Pending,none,none,143005405,none,none,none,none
10039,A1234,recipient,Sanjay,Pending,Pending,none,none,126680092,none,none,none,none
10040,A1234,recipient,Syahid,Pending,Pending,none,none,125468001,none,none,none,none
10041,A1234,recipient,Noordin,Pending,Pending,none,none,143699828,none,none,none,none
10042,A1234,recipient,Roshman,Pending,Pending,none,none,178457023,none,none,none,none
10043,A1234,recipient,Siva,Pending,Pending,none,none,123006498,none,none,none,none
10044,A1234,recipient,Raj,Pending,Pending,none,none,145448220,none,none,none,none
10045,A1234,recipient,Kai Meng,Pending,Pending,none,none,149878754,none,none,none,none
10046,A1234,recipient,Chandran,Pending,Pending,none,none,136958200,none,none,none,none
10047,A1234,recipient,Syed,Pending,Pending,none,none,178989650,none,none,none,none
10048,A1234,recipient,Devaki,Pending,Pending,none,none,136698011,none,none,none,none
10049,A1234,recipient,Samy,Pending,Pending,none,none,125582460,none,none,none,none
10050,A1234,recipient,Kunjiraman,Pending,Pending,none,none,179984699,none,none,none,none
10051,A1234,recipient,Hafidzah,Pending,Pending,none,none,125546982,none,none,none,none
10052,A1234,recipient,Vijaya,Pending,Pending,none,none,147784502,none,none,none,none
10053,A1234,recipient,Ahmad,Pending,Pending,none,none,136685205,none,none,none,none
10054,A1234,recipient,Shamini,Pending,Pending,none,none,147532002,none,none,none,none
10055,A1234,recipient,Kavita,Pending,Pending,none,none,102252036,none,none,none,none
10056,A1234,recipient,Tey Hui,Pending,Pending,none,none,115564875,none,none,none,none
10057,A1234,recipient,Shu Ming,Pending,Pending,none,none,123349902,none,none,none,none
10058,A1234,recipient,Rifhan,Pending,Pending,none,none,102258203,none,none,none,none
10059,A1234,recipient,Qin Yii,Pending,Pending,none,none,123335585,none,none,none,none
10060,A1234,recipient,Wei Ming,Pending,Pending,none,none,172598802,none,none,none,none
10061,A1234,recipient,Zabrina,Pending,Pending,none,none,123669872,none,none,none,none
10062,A1234,recipient,Liew Zhong,Pending,Pending,none,none,146698203,none,none,none,none
10063,A1234,recipient,Anita,Pending,Pending,none,none,125587972,none,none,none,none
10064,A1234,recipient,Johari,Pending,Pending,none,none,127833250,none,none,none,none
10065,A1234,recipient,Aisar,Pending,Pending,none,none,102269820,none,none,none,none
10066,A1234,recipient,Xiu Choong,Pending,Pending,none,none,104452132,none,none,none,none
10067,A1234,recipient,Kamal,Pending,Pending,none,none,123773250,none,none,none,none
10068,A1234,recipient,Kai Pey,Pending,Pending,none,none,174544503,none,none,none,none
10069,A1234,recipient,Nasrullah,Pending,Pending,none,none,129988456,none,none,none,none
10070,A1234,recipient,Farahtasha,Pending,Pending,none,none,104789210,none,none,none,none
10071,A1234,recipient,Ziah Ping,Pending,Pending,none,none,124466250,none,none,none,none
10072,A1234,recipient,Kamaruzin,Pending,Pending,none,none,107789852,none,none,none,none
10073,A1234,recipient,Zabidi,Pending,Pending,none,none,104848721,none,none,none,none
10074,A1234,recipient,Shivraj,Pending,Pending,none,none,136824573,none,none,none,none
10075,A1234,recipient,Kiran,Pending,Pending,none,none,136458220,none,none,none,none
10076,A1234,recipient,Hui Xing,Pending,Pending,none,none,126354829,none,none,none,none
10077,A1234,recipient,Yusran,Pending,Pending,none,none,126774213,none,none,none,none
10078,A1234,recipient,Jimmy,Pending,Pending,none,none,102121053,none,none,none,none
10079,A1234,recipient,Azrah,Pending,Pending,none,none,174845482,none,none,none,none
10080,A1234,recipient,Nijhar,Pending,Pending,none,none,102332179,none,none,none,none
10081,A1234,recipient,Kia Sim,Pending,Pending,none,none,142251215,none,none,none,none
10082,A1234,recipient,Zayani,Pending,Pending,none,none,175549803,none,none,none,none
10083,A1234,recipient,Azfar,Pending,Pending,none,none,117799350,none,none,none,none
10084,A1234,recipient,Zhong Hen,Pending,Pending,none,none,124556302,none,none,none,none
10085,A1234,recipient,Nick,Pending,Pending,none,none,177898529,none,none,none,none
10086,A1234,recipient,Norhidayah,Pending,Pending,none,none,128200677,none,none,none,none
10087,A1234,recipient,Amisha,Pending,Pending,none,none,105499825,none,none,none,none
10088,A1234,recipient,Safwan,Pending,Pending,none,none,114554780,none,none,none,none
10089,A1234,recipient,Syamirul,Pending,Pending,none,none,126582031,none,none,none,none
10090,A1234,recipient,Razuan,Pending,Pending,none,none,136458720,none,none,none,none
10091,A1234,recipient,Azwani,Pending,Pending,none,none,126565890,none,none,none,none
10092,A1234,recipient,Diyana,Pending,Pending,none,none,145585820,none,none,none,none
10093,A1234,recipient,Jun Hong,Pending,Pending,none,none,126498245,none,none,none,none
10094,A1234,recipient,Marina,Pending,Pending,none,none,117456982,none,none,none,none
10095,A1234,recipient,Isnur,Pending,Pending,none,none,175468524,none,none,none,none
10096,A1234,recipient,Shazwan,Pending,Pending,none,none,135892646,none,none,none,none
10097,A1234,recipient,Kelvin,Pending,Pending,none,none,125545457,none,none,none,none
10098,A1234,recipient,Haqimie,Pending,Pending,none,none,136548501,none,none,none,none
10099,A1234,recipient,Adina,Pending,Pending,none,none,174120695,none,none,none,none
10100,A1234,recipient,Saraswati,Pending,Pending,none,none,102457892,none,none,none,none
10101,A1234,recipient,Tio Rong,Pending,Pending,none,none,113549820,none,none,none,none
10102,A1234,recipient,Yan Sung,Pending,Pending,none,none,165985245,none,none,none,none
10103,A1234,recipient,Haddad,Pending,Pending,none,none,174589203,none,none,none,none
10104,A1234,recipient,Sharil,Pending,Pending,none,none,165454894,none,none,none,none
10105,A1234,recipient,Kumari,Pending,Pending,none,none,125487998,none,none,none,none
10106,A1234,recipient,Kumaresan,Pending,Pending,none,none,135779851,none,none,none,none
10107,A1234,recipient,Faiz,Pending,Pending,none,none,124454829,none,none,none,none
10108,A1234,recipient,Welson,Pending,Pending,none,none,125682683,none,none,none,none
10109,A1234,recipient,Hiresh,Pending,Pending,none,none,112666498,none,none,none,none
10110,A1234,recipient,Khadijah,Pending,Pending,none,none,142658206,none,none,none,none
10111,A1234,recipient,Chin Woon,Pending,Pending,none,none,172985985,none,none,none,none
10112,A1234,recipient,Habib,Pending,Pending,none,none,174545859,none,none,none,none
10113,A1234,recipient,Aidila,Pending,Pending,none,none,124554745,none,none,none,none
10114,A1234,recipient,Azahari,Pending,Pending,none,none,136868901,none,none,none,none
10115,A1234,recipient,Samarasan,Pending,Pending,none,none,145865469,none,none,none,none
10116,A1234,recipient,Kirash,Pending,Pending,none,none,123369321,none,none,none,none
10117,A1234,recipient,Sofia,Pending,Pending,none,none,128264827,none,none,none,none
10118,A1234,recipient,Devan,Pending,Pending,none,none,102331478,none,none,none,none
10119,A1234,recipient,Hazirah,Pending,Pending,none,none,146577592,none,none,none,none
10120,A1234,recipient,Bishan,Pending,Pending,none,none,147879246,none,none,none,none
10121,A1234,recipient,Hayati,Pending,Pending,none,none,173255669,none,none,none,none
10122,A1234,recipient,Mariam,Pending,Pending,none,none,126498523,none,none,none,none
10123,A1234,recipient,Irfan,Pending,Pending,none,none,127985462,none,none,none,none
10124,A1234,recipient,Azmina,Pending,Pending,none,none,174848569,none,none,none,none
10125,A1234,recipient,Yung Cen,Pending,Pending,none,none,136565982,none,none,none,none
10126,A1234,recipient,Shahiman,Pending,Pending,none,none,174985646,none,none,none,none
10127,A1234,recipient,Shankar,Pending,Pending,none,none,127588982,none,none,none,none
10128,A1234,recipient,Aiman,Pending,Pending,none,none,136658546,none,none,none,none
10129,A1234,recipient,Henry,Pending,Pending,none,none,125546857,none,none,none,none
10130,A1234,recipient,Davies,Pending,Pending,none,none,172380102,none,none,none,none
10131,A1234,recipient,Hafizah,Pending,Pending,none,none,129985877,none,none,none,none
10132,A1234,recipient,Rena,Pending,Pending,none,none,123364982,none,none,none,none
10133,A1234,recipient,Angelina,Pending,Pending,none,none,148897514,none,none,none,none
10134,A1234,recipient,Jia Hui,Pending,Pending,none,none,136654982,none,none,none,none
10135,A1234,recipient,Zhu Sheng,Pending,Pending,none,none,172515823,none,none,none,none
